# Four-square balance gap -- per-n companion table.
# Every n = x^2 + y^2 + z^2 + w^2 with x >= y >= z >= w >= 0 (Lagrange).
# (x,y,z,w) is the most balanced such decomposition (minimal largest part x).
# gap = x - ceil(sqrt(n/4)) = g(n); spread = x - w (context only).
#   Check any row by hand: x*x + y*y + z*z + w*w = n and gap = x - ceil(sqrt(n/4)).
# is_record = 1 where gap exceeds every smaller n (running maximum);
#   best_so_far is that running maximum; record_index counts the records 1,2,3,...
# Illustrative companion to the gap-record-location sequence; generated by
#   src/gap_table.py (engine src/foursquare.py, 'min' mode).
n,x,y,z,w,gap,best_so_far,is_record,record_index,spread
1,1,0,0,0,0,0,1,1,1
2,1,1,0,0,0,0,0,,1
3,1,1,1,0,0,0,0,,1
4,1,1,1,1,0,0,0,,0
5,2,1,0,0,0,0,0,,2
6,2,1,1,0,0,0,0,,2
7,2,1,1,1,0,0,0,,1
8,2,2,0,0,0,0,0,,2
9,2,2,1,0,0,0,0,,2
10,2,2,1,1,0,0,0,,1
11,3,1,1,0,1,1,1,2,3
12,2,2,2,0,0,1,0,,2
13,2,2,2,1,0,1,0,,1
14,3,2,1,0,1,1,0,,3
15,3,2,1,1,1,1,0,,2
16,2,2,2,2,0,1,0,,0
17,3,2,2,0,0,1,0,,3
18,3,2,2,1,0,1,0,,2
19,3,3,1,0,0,1,0,,3
20,3,3,1,1,0,1,0,,2
21,3,2,2,2,0,1,0,,1
22,3,3,2,0,0,1,0,,3
23,3,3,2,1,0,1,0,,2
24,4,2,2,0,1,1,0,,4
25,4,2,2,1,1,1,0,,3
26,3,3,2,2,0,1,0,,1
27,3,3,3,0,0,1,0,,3
28,3,3,3,1,0,1,0,,2
29,4,3,2,0,1,1,0,,4
30,4,3,2,1,1,1,0,,3
31,3,3,3,2,0,1,0,,1
32,4,4,0,0,1,1,0,,4
33,4,3,2,2,1,1,0,,2
34,4,3,3,0,1,1,0,,4
35,4,3,3,1,1,1,0,,3
36,3,3,3,3,0,1,0,,0
37,4,4,2,1,0,1,0,,3
38,4,3,3,2,0,1,0,,2
39,5,3,2,1,1,1,0,,4
40,4,4,2,2,0,1,0,,2
41,4,4,3,0,0,1,0,,4
42,4,4,3,1,0,1,0,,3
43,4,3,3,3,0,1,0,,1
44,5,3,3,1,1,1,0,,4
45,4,4,3,2,0,1,0,,2
46,5,4,2,1,1,1,0,,4
47,5,3,3,2,1,1,0,,3
48,4,4,4,0,0,1,0,,4
49,4,4,4,1,0,1,0,,3
50,4,4,3,3,0,1,0,,1
51,5,4,3,1,1,1,0,,4
52,4,4,4,2,0,1,0,,2
53,6,3,2,2,2,2,1,3,4
54,5,4,3,2,1,2,0,,3
55,5,5,2,1,1,2,0,,4
56,6,4,2,0,2,2,0,,6
57,4,4,4,3,0,2,0,,1
58,5,4,4,1,1,2,0,,4
59,5,4,3,3,1,2,0,,2
60,5,5,3,1,1,2,0,,4
61,5,4,4,2,1,2,0,,3
62,6,4,3,1,2,2,0,,5
63,5,5,3,2,1,2,0,,3
64,4,4,4,4,0,2,0,,0
65,6,4,3,2,1,2,0,,4
66,5,4,4,3,0,2,0,,2
67,5,5,4,1,0,2,0,,4
68,5,5,3,3,0,2,0,,2
69,6,4,4,1,1,2,0,,5
70,5,5,4,2,0,2,0,,3
71,6,5,3,1,1,2,0,,5
72,6,4,4,2,1,2,0,,4
73,5,4,4,4,0,2,0,,1
74,6,5,3,2,1,2,0,,4
75,5,5,4,3,0,2,0,,2
76,5,5,5,1,0,2,0,,4
77,6,4,4,3,1,2,0,,3
78,6,5,4,1,1,2,0,,5
79,5,5,5,2,0,2,0,,3
80,6,6,2,2,1,2,0,,4
81,6,5,4,2,1,2,0,,4
