# Balance-gap records, deterministically generated by src/gen_records.py and
# cross-checked against data/records_to_1e9_COMPLETE.txt.
# n = x^2+y^2+z^2+w^2, canonical (min x, then y, then z, then w) = A122921/2/3/4.
# g = x - ceil(sqrt(n/4)).  status: exhaustive (n<=1e7) | scan-1e9 (<=1e9).
# idx n x y z w g status
1 1 1 0 0 0 g=0 exhaustive
2 11 3 1 1 0 g=1 exhaustive
3 53 6 3 2 2 g=2 exhaustive
4 96 8 4 4 0 g=3 exhaustive
5 224 12 8 4 0 g=4 exhaustive
6 384 16 8 8 0 g=6 exhaustive
7 896 24 16 8 0 g=9 exhaustive
8 1536 32 16 16 0 g=12 exhaustive
9 2816 40 24 24 8 g=13 exhaustive
10 3584 48 32 16 0 g=18 exhaustive
11 6144 64 32 32 0 g=24 exhaustive
12 11264 80 48 48 16 g=26 exhaustive
13 14336 96 64 32 0 g=36 exhaustive
14 24576 128 64 64 0 g=49 exhaustive
15 45056 160 96 96 32 g=53 exhaustive
16 57344 192 128 64 0 g=72 exhaustive
17 98304 256 128 128 0 g=99 exhaustive
18 180224 320 192 192 64 g=107 exhaustive
19 229376 384 256 128 0 g=144 exhaustive
20 393216 512 256 256 0 g=198 exhaustive
21 720896 640 384 384 128 g=215 exhaustive
22 917504 768 512 256 0 g=289 exhaustive
23 1572864 1024 512 512 0 g=396 exhaustive
24 2883584 1280 768 768 256 g=430 exhaustive
25 3670016 1536 1024 512 0 g=578 exhaustive
26 6291456 2048 1024 1024 0 g=793 exhaustive
27 11534336 2560 1536 1536 512 g=861 scan-1e9
28 14680064 3072 2048 1024 0 g=1156 scan-1e9
29 25165824 4096 2048 2048 0 g=1587 scan-1e9
30 46137344 5120 3072 3072 1024 g=1723 scan-1e9
31 58720256 6144 4096 2048 0 g=2312 scan-1e9
32 100663296 8192 4096 4096 0 g=3175 scan-1e9
33 184549376 10240 6144 6144 2048 g=3447 scan-1e9
34 234881024 12288 8192 4096 0 g=4625 scan-1e9
35 402653184 16384 8192 8192 0 g=6350 scan-1e9
36 738197504 20480 12288 12288 4096 g=6895 scan-1e9
37 939524096 24576 16384 8192 0 g=9250 scan-1e9
