n,x,y,z,w,gap,spread
1,1,0,0,0,0,1
101,6,6,5,2,0,4
201,8,8,8,3,0,5
301,10,10,10,1,1,9
401,12,11,10,6,1,6
501,14,13,10,6,2,8
601,13,12,12,12,0,1
701,18,13,12,8,4,10
801,16,16,15,8,1,8
901,17,16,16,10,1,7
1001,18,16,15,14,2,4
1101,20,18,16,11,3,9
1201,20,17,16,16,2,4
1301,22,18,18,13,3,9
1401,22,22,17,12,3,10
1501,22,20,19,16,2,6
1601,24,20,20,15,3,9
1701,24,23,20,14,3,10
1801,26,23,20,14,4,12
1901,24,22,21,20,2,4
2001,25,24,20,20,2,5
2101,25,24,24,18,2,7
2201,26,25,24,18,2,8
2301,26,26,25,18,2,8
2401,28,28,28,7,3,21
2501,30,25,24,20,4,10
2601,29,28,24,20,3,9
2701,29,28,26,20,3,9
2801,30,28,26,21,3,9
2901,30,29,26,22,3,8
3001,30,30,25,24,2,6
3101,30,29,28,24,2,6
3201,30,29,28,26,1,4
3301,34,31,28,20,5,14
3401,34,33,30,16,4,18
3501,34,31,30,22,4,12
3601,32,32,32,23,1,9
3701,35,30,30,26,4,9
3801,32,32,32,27,1,5
3901,37,32,32,22,5,15
4001,36,35,34,18,4,18
4101,36,34,32,25,3,11
4201,37,32,32,28,4,9
4301,34,34,33,30,1,4
4401,38,35,34,24,4,14
4501,38,35,34,26,4,12
4601,36,36,35,28,2,8
4701,36,35,34,32,1,4
4801,40,37,34,26,5,14
4901,40,39,36,22,4,18
5001,38,38,33,32,2,6
5101,40,40,35,26,4,14
5201,40,39,36,28,3,12
5301,40,38,36,31,3,9
5401,41,40,38,26,4,15
5501,42,40,36,29,4,13
5601,41,40,36,32,3,9
5701,38,38,38,37,0,1
5801,44,39,38,30,5,14
5901,43,40,36,34,4,9
6001,44,41,40,28,5,16
6101,45,42,34,34,5,11
6201,42,41,40,34,2,8
6301,45,44,42,24,5,21
6401,43,42,42,32,2,11
6501,43,42,38,38,2,5
6601,47,46,40,26,6,21
6701,45,44,38,36,4,9
6801,46,44,43,30,4,16
6901,46,46,38,35,4,11
7001,46,42,40,39,4,7
7101,46,45,44,32,3,14
7201,46,45,42,36,3,10
7301,48,47,42,32,5,16
7401,48,44,44,35,4,13
7501,46,44,43,40,2,6
7601,48,46,45,34,4,14
7701,46,46,45,38,2,8
7801,50,47,44,34,5,16
7901,48,48,43,38,3,10
8001,48,48,48,33,3,15
8101,50,46,46,37,4,13
8201,48,45,44,44,2,4
8301,50,50,49,30,4,20
8401,50,46,44,43,4,7
8501,50,49,48,36,3,14
8601,50,48,46,41,3,9
8701,51,50,48,36,4,15
8801,51,50,44,42,4,9
8901,52,50,49,36,4,16
9001,50,50,49,40,2,10
9101,52,51,50,36,4,16
9201,51,50,50,40,3,11
9301,54,54,45,38,5,16
9401,54,50,48,41,5,13
9501,55,54,46,38,6,17
9601,55,52,44,44,6,11
9701,54,54,50,37,4,17
9801,54,52,50,41,4,13
9901,50,50,50,49,0,1
10001,56,51,50,42,5,14
10101,51,50,50,50,0,1
10201,56,56,52,35,5,21
10301,55,54,54,38,4,17
10401,56,54,50,43,5,13
10501,58,56,49,40,6,18
10601,56,56,48,45,4,11
10701,58,56,51,40,6,18
10801,56,55,52,44,4,12
10901,57,56,54,40,4,17
11001,56,56,52,45,3,11
11101,60,56,51,42,7,18
11201,59,54,50,48,6,11
11301,58,58,53,42,4,16
11401,58,56,50,49,4,9
11501,60,56,54,43,6,17
11601,56,56,55,48,2,8
11701,60,57,54,44,5,16
11801,57,56,54,50,2,7
11901,60,59,52,46,5,14
12001,56,56,55,52,1,4
12101,60,57,56,46,4,14
12201,62,62,48,47,6,15
12301,58,58,58,47,2,11
12401,64,58,54,45,8,19
12501,60,58,56,49,4,11
12601,62,62,52,47,5,15
12701,60,58,56,51,3,9
12801,61,60,58,46,4,15
12901,58,58,58,53,1,5
13001,63,58,58,48,5,15
13101,62,61,60,44,4,18
13201,60,60,60,49,2,11
13301,66,60,56,47,8,19
13401,60,60,60,51,2,9
13501,64,64,53,50,5,14
13601,61,60,58,54,2,7
13701,64,63,56,50,5,14
13801,65,64,58,46,6,19
13901,65,62,54,54,6,11
14001,64,64,60,47,4,17
14101,64,62,56,55,4,9
14201,66,62,60,49,6,17
14301,62,61,60,56,2,6
14401,66,62,60,51,5,15
14501,68,66,65,36,7,32
14601,64,64,60,53,3,11
14701,66,66,65,42,5,24
14801,64,63,60,56,3,8
14901,68,65,56,54,6,14
15001,71,64,58,50,9,21
15101,66,66,58,55,4,11
15201,68,66,61,50,6,18
15301,65,64,62,56,3,9
15401,70,68,66,39,7,31
15501,63,62,62,62,0,1
15601,70,62,61,56,7,14
15701,67,66,66,50,4,17
15801,68,63,62,58,5,10
15901,68,68,62,53,4,15
16001,70,70,60,51,6,19
16101,68,66,64,55,4,13
16201,73,66,60,54,9,19
16301,66,66,65,58,2,8
16401,70,67,64,54,5,16
16501,71,70,68,44,6,27
16601,70,66,64,57,5,13
16701,71,70,62,54,6,17
16801,67,66,66,60,2,7
16901,72,66,65,56,6,16
17001,71,70,66,52,5,19
17101,68,68,67,58,2,10
17201,70,69,68,54,4,16
17301,68,66,65,64,2,4
17401,71,70,64,58,5,13
17501,73,70,66,54,6,19
17601,70,68,66,61,3,9
17701,71,70,68,56,4,15
17801,72,72,68,53,5,19
17901,72,69,66,60,5,12
18001,73,72,72,48,5,25
18101,70,67,66,66,2,4
18201,73,72,62,62,5,11
18301,74,70,70,55,6,19
18401,72,68,68,63,4,9
18501,73,72,68,58,4,15
18601,74,74,68,55,5,19
18701,72,72,67,62,3,10
18801,72,72,72,57,3,15
18901,76,74,68,55,7,21
19001,75,72,64,64,6,11
19101,74,74,70,57,4,17
19201,72,70,69,66,2,6
19301,74,72,71,60,4,14
19401,76,74,70,57,6,19
19501,74,70,70,65,4,9
19601,75,74,70,60,4,15
19701,76,76,70,57,5,19
19801,74,73,70,64,3,10
19901,76,75,70,60,5,16
20001,78,77,68,58,7,20
20101,76,73,70,64,5,12
20201,78,74,71,60,6,18
20301,79,78,74,50,7,29
20401,76,76,68,65,4,11
20501,78,76,71,60,6,18
20601,74,72,71,70,2,4
20701,77,76,70,64,5,13
20801,78,78,77,52,5,26
20901,75,74,70,70,2,5
21001,80,74,70,65,7,15
21101,80,75,74,60,7,20
21201,75,74,74,68,2,7
21301,80,74,73,64,7,16
21401,79,78,74,60,5,19
21501,76,75,74,68,2,8
21601,80,76,73,64,6,16
21701,79,78,76,60,5,19
21801,76,76,75,68,2,8
21901,80,77,74,64,6,16
22001,83,78,72,62,8,21
22101,79,76,72,70,4,9
22201,80,77,76,64,5,16
